date,region,source,metric_type,value,day_of_week,is_weekend,month,year,week_of_year,day_of_year,lag_1,lag_7,lag_14,rolling_7_mean,rolling_7_std,rolling_30_mean,rolling_30_std,pct_change_1,zscore_30,city,isolation_flag,is_zscore_anomaly,is_anomaly
2020-05-11,Ile-de-France,idfm_station_daily,validations,843231.0,0,0,5,2020,20,132,118816.0,285107.0,237531.0,326086.71428571426,243448.49685535533,218426.76666666666,139406.05297288357,6.096948222461621,4.481901753970946,Paris,-1,True,True
2020-05-12,Ile-de-France,idfm_station_daily,validations,987643.0,1,0,5,2020,20,133,843231.0,306490.0,243901.0,423394.28571428574,347992.9040183646,248711.73333333334,195496.89107108553,0.17126030708074058,3.779759681180712,Paris,-1,True,True
2020-05-13,Ile-de-France,idfm_station_daily,validations,1002397.0,2,0,5,2020,20,134,987643.0,322902.0,248713.0,520465.0,405335.4055884658,278553.93333333335,237053.1490127739,0.01493859623365923,3.0535053834178827,Paris,-1,True,True
2021-08-22,Manhattan,mta_station_daily,ridership,379225.0,6,1,8,2021,33,234,898063.0,740418.0,702627.0,1057741.7142857143,324962.61546814884,1090987.3,242335.00700591353,-0.5777300701621155,-2.937100622786337,NYC,1,True,True
2021-08-22,Brooklyn,mta_station_daily,ridership,176563.0,6,1,8,2021,33,234,402412.0,350801.0,314510.0,487281.71428571426,150575.4992550427,505586.1666666667,114162.73138061259,-0.5612382334522827,-2.882054087946798,NYC,1,True,True
2024-07-01,Ile-de-France,idfm_station_daily,validations,771710.0,0,0,7,2024,27,183,3133180.0,5964368.0,5854328.0,4758400.571428572,2172544.813737402,5298298.7,1585303.0224909633,-0.753697521368067,-2.8553460352882176,Paris,-1,True,True
2015-03-21,Ile-de-France,idfm_station_daily,validations,62865.0,5,1,3,2015,12,80,5105504.0,3114302.0,3212564.0,4080656.8571428573,2214047.3444573125,4225561.233333333,1521109.602421108,-0.9876868179909368,-2.736618207332125,Paris,-1,True,True
2020-05-14,Ile-de-France,idfm_station_daily,validations,1034047.0,3,0,5,2020,20,135,1002397.0,336899.0,256207.0,620057.5714285715,437115.54127086507,305549.93333333335,273897.7900877263,0.03157431636367636,2.6597405785323693,Paris,-1,True,True
2021-08-22,Queens,mta_station_daily,ridership,121151.0,6,1,8,2021,33,234,260705.0,225740.0,199321.0,337698.85714285716,108344.98681438653,345476.2,85813.71994452388,-0.5352946817283903,-2.614094810771749,NYC,1,True,True
2024-07-02,Ile-de-France,idfm_station_daily,validations,769554.0,1,0,7,2024,27,184,771710.0,6413782.0,6425981.0,3952082.285714286,2481238.630784401,5227149.5,1737095.516904183,-0.002793795596791493,-2.5661199724608337,Paris,-1,True,True
2016-12-06,Ile-de-France,idfm_station_daily,validations,252137.0,1,0,12,2016,49,341,5837146.0,6065307.0,6082443.0,4232845.714285715,2324548.5842849715,4849743.033333333,1801184.8321450725,-0.956804746703269,-2.55254538639321,Paris,-1,True,True
2024-11-28,Manhattan,mta_station_daily,ridership,876120.0,3,0,11,2024,48,333,2049305.0,2438709.0,2443712.0,1773024.0,538859.4789992395,2019246.6,450479.2974135968,-0.5724794503502406,-2.5375785448148256,NYC,1,True,True
2021-12-25,Manhattan,mta_station_daily,ridership,443661.0,5,1,12,2021,51,359,794064.0,1046279.0,1327671.0,1064382.5714285714,361409.3112086079,1402691.0,378527.675258607,-0.4412780330048963,-2.533579610380664,NYC,1,True,True
2024-09-11,Ile-de-France,idfm_station_daily,validations,746348.0,2,0,9,2024,37,255,767240.0,801255.0,844556.0,788840.1428571428,28734.658258160358,823274.7,31070.002258181907,-0.027230071424847457,-2.4759154943331954,Paris,-1,False,True
2019-12-05,Ile-de-France,idfm_station_daily,validations,695373.0,3,0,12,2019,49,339,6517198.0,7000025.0,6888343.0,4860744.714285715,2501814.471036688,5473215.3,1949368.8951524755,-0.8933018453636057,-2.4509687786037477,Paris,-1,False,True
2015-11-29,Ile-de-France,idfm_station_daily,validations,50884.0,6,1,11,2015,48,333,3296814.0,1903686.0,1456990.0,4600064.714285715,2210638.174550337,4443566.933333334,1819900.154223092,-0.9845657049502944,-2.4136944673256275,Paris,-1,False,True
2020-05-15,Ile-de-France,idfm_station_daily,validations,1064127.0,4,0,5,2020,20,136,1034047.0,164504.0,98758.0,748575.1428571428,412405.7905171177,333626.0333333333,306277.1138789371,0.029089586836962056,2.385098113976004,Paris,-1,False,True
