city,month,avg_monthly_value
NYC,1,2755804.0129032256
NYC,2,2945239.3450704226
NYC,3,2690467.9612903227
NYC,4,2302815.1133333333
NYC,5,2422171.8
NYC,6,2498656.84
NYC,7,2377489.535483871
NYC,8,2421340.3096774193
NYC,9,2734904.24
NYC,10,2895978.916129032
NYC,11,2815003.44
NYC,12,2705999.0
Paris,1,4318911.312903225
Paris,2,4597908.077738516
Paris,3,4447988.748387096
Paris,4,3960099.4566666665
Paris,5,3973809.851612903
Paris,6,4510218.28
Paris,7,3532053.2387096775
Paris,8,2763704.229032258
Paris,9,4274581.49
Paris,10,4816004.082437276
Paris,11,4643467.640740741
Paris,12,3846446.394265233
