city,source,metric_type,month,avg_value
NYC,mta_station_daily,ridership,1,551160.8025806452
NYC,mta_station_daily,ridership,2,589047.8690140845
NYC,mta_station_daily,ridership,3,538093.5922580645
NYC,mta_station_daily,ridership,4,460563.02266666666
NYC,mta_station_daily,ridership,5,484434.36
NYC,mta_station_daily,ridership,6,499731.368
NYC,mta_station_daily,ridership,7,475497.9070967742
NYC,mta_station_daily,ridership,8,484268.0619354839
NYC,mta_station_daily,ridership,9,546980.848
NYC,mta_station_daily,ridership,10,579195.7832258064
NYC,mta_station_daily,ridership,11,563000.688
NYC,mta_station_daily,ridership,12,541199.8
Paris,idfm_station_daily,validations,1,4318911.312903225
Paris,idfm_station_daily,validations,2,4597908.077738516
Paris,idfm_station_daily,validations,3,4447988.748387096
Paris,idfm_station_daily,validations,4,3960099.4566666665
Paris,idfm_station_daily,validations,5,3973809.851612903
Paris,idfm_station_daily,validations,6,4510218.28
Paris,idfm_station_daily,validations,7,3532053.2387096775
Paris,idfm_station_daily,validations,8,2763704.229032258
Paris,idfm_station_daily,validations,9,4274581.49
Paris,idfm_station_daily,validations,10,4816004.082437276
Paris,idfm_station_daily,validations,11,4643467.640740741
Paris,idfm_station_daily,validations,12,3846446.394265233
