city,hour,hour_label,hourly_total
NYC,0,00:00,40792821.0
NYC,1,01:00,16876688.0
NYC,2,02:00,9925712.0
NYC,3,03:00,9337110.0
NYC,4,04:00,23890519.0
NYC,5,05:00,85264296.0
NYC,6,06:00,182442262.0
NYC,7,07:00,324069138.0
NYC,8,08:00,379077470.0
NYC,9,09:00,263391273.0
NYC,10,10:00,207046902.0
NYC,11,11:00,203386825.0
NYC,12,12:00,222117805.0
NYC,13,13:00,249099001.0
NYC,14,14:00,295266425.0
NYC,15,15:00,355671745.0
NYC,16,16:00,396392920.0
NYC,17,17:00,444993600.0
NYC,18,18:00,348630092.0
NYC,19,19:00,236266947.0
NYC,20,20:00,173596216.0
NYC,21,21:00,139723605.0
NYC,22,22:00,117400459.0
NYC,23,23:00,78005089.0
